ticker,name,tv_symbol,exchange
005930,삼성전자,KRX:005930,KRX
000660,SK하이닉스,KRX:000660,KRX
035420,NAVER,KRX:035420,KRX
035720,카카오,KRX:035720,KRX
051910,LG화학,KRX:051910,KRX
006400,삼성SDI,KRX:006400,KRX
003670,포스코퓨처엠,KRX:003670,KRX
005380,현대차,KRX:005380,KRX
000270,기아,KRX:000270,KRX
068270,셀트리온,KRX:068270,KRX
207940,삼성바이오로직스,KRX:207940,KRX
005490,POSCO홀딩스,KRX:005490,KRX
055550,신한지주,KRX:055550,KRX
105560,KB금융,KRX:105560,KRX
086790,하나금융지주,KRX:086790,KRX
012330,현대모비스,KRX:012330,KRX
066570,LG전자,KRX:066570,KRX
028260,삼성물산,KRX:028260,KRX
034730,SK,KRX:034730,KRX
015760,한국전력,KRX:015760,KRX
003550,LG,KRX:003550,KRX
032830,삼성생명,KRX:032830,KRX
010130,고려아연,KRX:010130,KRX
033780,KT&G,KRX:033780,KRX
009150,삼성전기,KRX:009150,KRX
018260,삼성에스디에스,KRX:018260,KRX
030200,KT,KRX:030200,KRX
034020,두산에너빌리티,KRX:034020,KRX
011170,롯데케미칼,KRX:011170,KRX
096770,SK이노베이션,KRX:096770,KRX
